year,masthead_img
argonaut year,usual masthead for the year
1898,/years/argonaut1898_sm.jpg
1899,/years/argonaut1899_sm.jpg
1900,/years/argonaut1900_sm.jpg
1901,/years/argonaut1901_sm.jpg
1902,/years/argonaut1902_sm.jpg
1903,/years/argonaut1903_sm.jpg
1904,/years/argonaut1904_sm.jpg
1905,/years/argonaut1905_sm.jpg
1906,/years/argonaut1906_sm.jpg
1907,/years/argonaut1907_sm.jpg
1908,/years/argonaut1908_sm.jpg
1909,/years/argonaut1909_sm.jpg
1910,/years/argonaut1910_sm.jpg
1911,/years/argonaut1911_sm.jpg
1912,/years/argonaut1912_sm.jpg
1913,/years/argonaut1913_sm.jpg
1914,/years/argonaut1914_sm.jpg
1915,/years/argonaut1915_sm.jpg
1916,/years/argonaut1916_sm.jpg
1917,/years/argonaut1917_sm.jpg
1918,/years/argonaut1918_sm.jpg
1919,/years/argonaut1919_sm.jpg
1920,/years/argonaut1920_sm.jpg
1921,/years/argonaut1921_sm.jpg
1922,/years/argonaut1922_sm.jpg
1923,/years/argonaut1923_sm.jpg
1924,/years/argonaut1924_sm.jpg
1925,/years/argonaut1925_sm.jpg
1926,/years/argonaut1926_sm.jpg
1927,/years/argonaut1927_sm.jpg
1928,/years/argonaut1928_sm.jpg
1929,/years/argonaut1929_sm.jpg
1930,/years/argonaut1930_sm.jpg
1931,/years/argonaut1931_sm.jpg
1932,/years/argonaut1932_sm.jpg
1933,/years/argonaut1933_sm.jpg
1934,/years/argonaut1934_sm.jpg
1935,/years/argonaut1935_sm.jpg
1936,/years/argonaut1936_sm.jpg
1937,/years/argonaut1937_sm.jpg
1938,/years/argonaut1938_sm.jpg
1939,/years/argonaut1939_sm.jpg
1940,/years/argonaut1940_sm.jpg
1941,/years/argonaut1941_sm.jpg
1942,/years/argonaut1942_sm.jpg
1943,/years/argonaut1943_sm.jpg
1944,/years/argonaut1944_sm.jpg
1945,/years/argonaut1945_sm.jpg
1946,/years/argonaut1946_sm.jpg
1947,/years/argonaut1947_sm.jpg
1948,/years/argonaut1948_sm.jpg
1949,/years/argonaut1949_sm.jpg
1950,/years/argonaut1950_sm.jpg
1951,/years/argonaut1951_sm.jpg
1952,/years/argonaut1952_sm.jpg
1953,/years/argonaut1953_sm.jpg
1954,/years/argonaut1954_sm.jpg
1955,/years/argonaut1955_sm.jpg
1956,/years/argonaut1956_sm.jpg
1957,/years/argonaut1957_sm.jpg
1958,/years/argonaut1958_sm.jpg
1959,/years/argonaut1959_sm.jpg
1960,/years/argonaut1960_sm.jpg
1961,/years/argonaut1961_sm.jpg
1962,/years/argonaut1962_sm.jpg
1963,/years/argonaut1963_sm.jpg
1964,/years/argonaut1964_sm.jpg
1965,/years/argonaut1965_sm.jpg
1966,/years/argonaut1966_sm.jpg
1967,/years/argonaut1967_sm.jpg
1968,/years/argonaut1968_sm.jpg
1969,/years/argonaut1969_sm.jpg
1970,/years/argonaut1970_sm.jpg
1971,/years/argonaut1971_sm.jpg
1972,/years/argonaut1972_sm.jpg
1973,/years/argonaut1973_sm.jpg
1974,/years/argonaut1974_sm.jpg
1975,/years/argonaut1975_sm.jpg
1976,/years/argonaut1976_sm.jpg
1977,/years/argonaut1977_sm.jpg
1978,/years/argonaut1978_sm.jpg
1979,/years/argonaut1979_sm.jpg
1980,/years/argonaut1980_sm.jpg
1981,/years/argonaut1981_sm.jpg
1982,/years/argonaut1982_sm.jpg
1983,/years/argonaut1983_sm.jpg
1984,/years/argonaut1984_sm.jpg
1985,/years/argonaut1985_sm.jpg
1986,/years/argonaut1986_sm.jpg
1987,/years/argonaut1987_sm.jpg
1988,/years/argonaut1988_sm.jpg
1989,/years/argonaut1989_sm.jpg
1990,/years/argonaut1990_sm.jpg
1991,/years/argonaut1991_sm.jpg
1992,/years/argonaut1992_sm.jpg
1993,/years/argonaut1993_sm.jpg
1994,/years/argonaut1994_sm.jpg
1995,/years/argonaut1995_sm.jpg
1996,/years/argonaut1996_sm.jpg
1997,/years/argonaut1997_sm.jpg
1998,/years/argonaut1998_sm.jpg
1999,/years/argonaut1999_sm.jpg
2000,/years/argonaut2000_sm.jpg
2001,/years/argonaut2001_sm.jpg
2002,/years/argonaut2002_sm.jpg
2003,/years/argonaut2003_sm.jpg
2004,/years/argonaut2004_sm.jpg
2005,/years/argonaut2005_sm.jpg
2006,/years/argonaut2006_sm.jpg
2007,/years/argonaut2007_sm.jpg
2008,/years/argonaut2008_sm.jpg
2009,/years/argonaut2009_sm.jpg
2010,/years/argonaut2010_sm.jpg
2011,
2012,
2013,
2014,
2015,
2016,
2017,
2018,
2019,
2020,
