refID,page,type,size,filename
2581,1,art,sm,2581_1_art_girlsdance.PNG
2581,2,ad,md,2581_2_ad_snakepit.PNG
2581,3,head,md,2581_3_head_nurseryrhymes.PNG
2589,1,head,md,2589_1_head_lutesong.PNG
2589,2,ad,md,2589_2_ad_processelectric.PNG
2589,2,art,sm,2589_2_art_dearjason.PNG
2589,3,ad,md,2589_3_ad_smilesmoking.PNG
2593,2,art,sm,2593_2_art_snowscuplture.PNG
3770,1,head,xl,3770_1_head_masthead.PNG
980,1,ad,md,980_1_ad_williamson.PNG
980,1,art,md,980_1_art_clash.PNG
980,4,ad,sm,980_4_ad_florist.PNG
995,1,head,xl,995_1_head_taft.PNG
995,5,art,sm,995_5_art_gym.PNG
995,6,ad,md,995_6_ad_taylor.PNG
